ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung [erschlossen],Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
1,SZ-AAP/W-AA-A,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze A,,,,,,Register A,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,"SPALTE ""Gesamttitel/collection"" GELÖSCHT!"
2,SZ-AAP/W-AA-B,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze B,,,,,,Register B,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
3,SZ-AAP/W-AA-C,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze C,,,,,,Register C,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
4,SZ-AAP/W-AA-D,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze D,,,,,,Register D,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
5,SZ-AAP/W-AA-E,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze E,,,,,,Register E,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
6,SZ-AAP/W-AA-F,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze F,,,,,,Register F,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
7,SZ-AAP/W-AA-G,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze G,,,,,,Register G,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
8,SZ-AAP/W-AA-H,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze H,,,,,,Register H,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
9,SZ-AAP/W-AA-I,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze I,,,,,,Register I,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
10,SZ-AAP/W-AA-J,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze J,,,,,,Register J,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
11,SZ-AAP/W-AA-K,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze K,,,,,,Register K,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
12,SZ-AAP/W-AA-L,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze L,,,,,,Register L,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
13,SZ-AAP/W-AA-M,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze M,,,,,,Register M,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
