Fördernehmer,ID,Type,Ressourcenadresse,KontextadresseTitel,Language,Date,Creator,Contributor
LAS Salzburg,o:szd.122,Personal Document,https://gams.uni-graz.at/o:szd.122,https://gams.uni-graz.at/o:szd.122/DC,"Verlagsvertrag Eugen Relgis, SZ-AAP/L13.45",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.138,Personal Document,https://gams.uni-graz.at/o:szd.138,https://gams.uni-graz.at/o:szd.138/DC,"Karte von Herrmann Hesse 1904, SZ-AAP/L15",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.114,Personal Document,https://gams.uni-graz.at/o:szd.114,https://gams.uni-graz.at/o:szd.114/DC,"Vertrag Bermann-Fischer A.B., Stockholm und Allert de Lange C.V. Amsterdam, SZ-AAP/L13.37",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.127,Personal Document,https://gams.uni-graz.at/o:szd.127,https://gams.uni-graz.at/o:szd.127/DC,"Verlagsvertrag Editura Socec u. Co. S.A., SZ-AAP/L13.50",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.144,Personal Document,https://gams.uni-graz.at/o:szd.144,https://gams.uni-graz.at/o:szd.144/DC,"Postvollmacht, SZ-SAM/L10",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.118,Personal Document,https://gams.uni-graz.at/o:szd.118,https://gams.uni-graz.at/o:szd.118/DC,"Vertrag Wydawnictwo J. Przeworskiego, SZ-AAP/L13.41",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.141,Personal Document,https://gams.uni-graz.at/o:szd.141,https://gams.uni-graz.at/o:szd.141/DC,"Notizbuch Russlandreise, SZ-SAH/L1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.134,Personal Document,https://gams.uni-graz.at/o:szd.134,https://gams.uni-graz.at/o:szd.134/DC,"Vertrag Aktiebolaget Skoglunds Bokförlag, SZ-AAP/L13.57",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.125,Personal Document,https://gams.uni-graz.at/o:szd.125,https://gams.uni-graz.at/o:szd.125/DC,"Vertrag Eugen Relgis, SZ-AAP/L13.48",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.151,Personal Document,https://gams.uni-graz.at/o:szd.151,https://gams.uni-graz.at/o:szd.151/DC,"Abwesenheitsnotiz II, SZ-SAM/L18",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.128,Personal Document,https://gams.uni-graz.at/o:szd.128,https://gams.uni-graz.at/o:szd.128/DC,"Vertrag Américo Fraga Lamares u. Ca. Lda. LIVRARIA CIVILIZAÇÃO, SZ-AAP/L13.51",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.130,Personal Document,https://gams.uni-graz.at/o:szd.130,https://gams.uni-graz.at/o:szd.130/DC,"Vertrag Livraria Civilizaçao, SZ-AAP/L13.53",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.133,Personal Document,https://gams.uni-graz.at/o:szd.133,https://gams.uni-graz.at/o:szd.133/DC,"Vertrag Livraria CIVILIZACAO, SZ-AAP/L13.56",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.140,Personal Document,https://gams.uni-graz.at/o:szd.140,https://gams.uni-graz.at/o:szd.140/DC,"Verzeichnis der Übersetzungen, SZ-AAP/L17",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.119,Personal Document,https://gams.uni-graz.at/o:szd.119,https://gams.uni-graz.at/o:szd.119/DC,"Vertrag Wydawnictwo J. Przeworskiego, SZ-AAP/L13.42",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.147,Personal Document,https://gams.uni-graz.at/o:szd.147,https://gams.uni-graz.at/o:szd.147/DC,"Überweisungsheft Deutsche Reichspost, SZ-SAM/L13",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.115,Personal Document,https://gams.uni-graz.at/o:szd.115,https://gams.uni-graz.at/o:szd.115/DC,"Vertrag FORUM VERLAG, SZ-AAP/L13.38",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.146,Personal Document,https://gams.uni-graz.at/o:szd.146,https://gams.uni-graz.at/o:szd.146/DC,"Scheckheft Österreichische Postsparkasse, SZ-SAM/L12",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.160,Personal Document,https://gams.uni-graz.at/o:szd.160,https://gams.uni-graz.at/o:szd.160/DC,"Certified Copy of an Entry of Marriage, SZ-SDP/L1",de,,"Zweig, Stefan",Entry of Marriage
LAS Salzburg,o:szd.139,Personal Document,https://gams.uni-graz.at/o:szd.139,https://gams.uni-graz.at/o:szd.139/DC,"Bestellzettel Bücherausgabe, SZ-AAP/L16",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.117,Personal Document,https://gams.uni-graz.at/o:szd.117,https://gams.uni-graz.at/o:szd.117/DC,"Vertrag H. Aschehoug u. Co. (W. Nygaard) A/S, SZ-AAP/L13.40",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.161,Personal Document,https://gams.uni-graz.at/o:szd.161,https://gams.uni-graz.at/o:szd.161/DC,"Theaterkarte zur Uraufführung von „Jeremias“ 1918, SZ-SDP/L2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.154,Personal Document,https://gams.uni-graz.at/o:szd.154,https://gams.uni-graz.at/o:szd.154/DC,"Autogrammblatt, SZ-SAM/L4",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.159,Personal Document,https://gams.uni-graz.at/o:szd.159,https://gams.uni-graz.at/o:szd.159/DC,"Postvollmacht für Anna Meingast, SZ-SAM/L9",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.153,Personal Document,https://gams.uni-graz.at/o:szd.153,https://gams.uni-graz.at/o:szd.153/DC,"Briefkarte blanko, SZ-SAM/L3",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.143,Personal Document,https://gams.uni-graz.at/o:szd.143,https://gams.uni-graz.at/o:szd.143/DC,"Hauptbuch, SZ-SAM/L1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.156,Personal Document,https://gams.uni-graz.at/o:szd.156,https://gams.uni-graz.at/o:szd.156/DC,"Correspondenz-Karte [blanko], SZ-SAM/L6",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.149,Personal Document,https://gams.uni-graz.at/o:szd.149,https://gams.uni-graz.at/o:szd.149/DC,"Bibliographie der Werke von Stefan Zweig, SZ-SAM/L15",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.112,Personal Document,https://gams.uni-graz.at/o:szd.112,https://gams.uni-graz.at/o:szd.112/DC,"Agreement Werner Söderström, SZ-AAP/L13.35",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.150,Personal Document,https://gams.uni-graz.at/o:szd.150,https://gams.uni-graz.at/o:szd.150/DC,"Stempel-Set, SZ-SAM/L17",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.137,Personal Document,https://gams.uni-graz.at/o:szd.137,https://gams.uni-graz.at/o:szd.137/DC,"At Home Card, SZ-AAP/L14",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.142,Personal Document,https://gams.uni-graz.at/o:szd.142,https://gams.uni-graz.at/o:szd.142/DC,"Druckmatrize mit Name und Adresse, SZ-SAH/L2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.135,Personal Document,https://gams.uni-graz.at/o:szd.135,https://gams.uni-graz.at/o:szd.135/DC,"Vertrag Aktiebolaget Skoglunds Bokförlag, SZ-AAP/L13.58",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.152,Personal Document,https://gams.uni-graz.at/o:szd.152,https://gams.uni-graz.at/o:szd.152/DC,"Abwesenheitsnotiz I, SZ-SAM/L2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.158,Personal Document,https://gams.uni-graz.at/o:szd.158,https://gams.uni-graz.at/o:szd.158/DC,"Briefumschlag, SZ-SAM/L8",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.123,Personal Document,https://gams.uni-graz.at/o:szd.123,https://gams.uni-graz.at/o:szd.123/DC,"Verlagsvertrag Eugen Relgis, SZ-AAP/L13.46",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.111,Personal Document,https://gams.uni-graz.at/o:szd.111,https://gams.uni-graz.at/o:szd.111/DC,"Vertrag K.J.Gummerus Osakeyhtiö, SZ-AAP/L13.34",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.168,Personal Document,https://gams.uni-graz.at/o:szd.168,https://gams.uni-graz.at/o:szd.168/DC,"Vollmacht Alfred Zweig, SZ-SEF/L1",de,,"Zweig, Stefan","Zweig, Alfred"
LAS Salzburg,o:szd.116,Personal Document,https://gams.uni-graz.at/o:szd.116,https://gams.uni-graz.at/o:szd.116/DC,"Vertrag H. Aschehoug u. Co. (W. Nygaard) A/S, SZ-AAP/L13.39",de,,"Zweig, Stefan",
