Verfasser*in,Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datum normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,27. XII 1936,27. XII 1936,,,1936-12-27,,Wien,,,GER,Durchschlagpapier,Carbon copy paper,"schwarzes Durchschlagpapier, violette Tinte, schwarze Tinte","black carbon paper, purple ink, black ink","Stefan Zweig, Herbert Reichner",21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.1,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,Das Originaltyposkript des Briefes liegt ebenfalls vor ,The original typescript of the letter is also available ,,"Das Blatt ist bereits sehr mitgenommen und zerrissen, Zweig hat ""Kopie für Unterfertigung"" links oben ergänzt, Herr Reichner hat die Bestätigung der jeweiligen Punkte am Ende des Briefes ergänzt; Unterschrift Zweig mit lila Tinte"
"Köhler, Richard",http://d-nb.info/gnd/1116101513,Insel-Verlag,http://d-nb.info/gnd/43217-9,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,12. Jan.1937.,12. Jan.1937.,,,1937-01-12,,Leipzig,,,GER,Briefpapier Insel-Verlag,Insel Verlag stationery,"schwarzes Farbband, schwarze Tinte","black ribbon, black ink",Richard Köhler,21x29 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.2,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,15. Januar 1937,15. Januar 1937,,,1937-01-15,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, schwarze Tinte","black ribbon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.3,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Napoli, Grand Hotel",Unterschrift mit schwarzer Tinte
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,Insel-Verlag,http://d-nb.info/gnd/43217-9,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,17. 1. 1937.,17. 1. 1937.,,,1937-01-17,,Neapel,,,GER,Durchschlagpapier,Carbon copy paper,schwarzes Durchschlagpapier,black carbon paper,,20x25 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.4,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Leipzig, Kurze Straße 7",Unterschrift von Zweig fehlt
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,20. Januar 1937,20. Januar 1937,,,1937-01-20,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, rosa Farbstift, schwarze Tinte, Bleistift","black ribbon, pink crayon, black ink, pencil",Herbert Reichner; Stefan Zweig,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.5,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,Auf der Rückseite des zweiten Briefbogens handschriftliche Notizen Stefan Zweigs,Manuscript notes by Stefan Zweig on verso of page 2,"Napoli, Grand Hotel",Unterstreichungen mit rosa Farbstift; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,27. Januar 1937,27. Januar 1937,,,1937-01-27,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, rosa Farbstift","black ribbon, red crayon, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.6,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Napoli, Grand Hotel",Unterstreichungen und Randstrich mit rotem Farbstift; Unterschrift mit rosa Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,3. Februar 1937,3. Februar 1937,,,1937-02-03,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, blauer Farbstift","black ribbon, red crayon, blue crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.7,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Napoli, Grand Hotel",Unterstreichungen und Randstrich mit rotem Farbstift; Unterschrift mit blauem Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,6. Februar 1937,6. Februar 1937,,,1937-02-06,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, blauer Farbstift","black ribbon, red crayon, blue crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.8,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichung mit rotem Farbstift; Unterschrift mit blauem Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 3 Blatt","1 letter, typescript, 3 leaves",,,9. Februar 1937,9. Februar 1937,,,1937-02-09,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, rosa Farbstift","black ribbon, red crayon, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.9,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Milano, Hotel Excelsior Gallia",Unterstreichungen mit rotem Farbstift; Unterschrift mit rosa Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,15. Februar 1937,15. Februar 1937,,,1937-02-15,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte, rosa Farbstift","black ribbon, red crayon, black ink, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.10,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street","Unterstreichungen mit rotem Farbstift, Zusatz mit blauschwarzer Tinte im Brief; Unterschrift mit rosa Farbstift"
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 3 Blatt","1 letter, typescript, 3 leaves",,,22. Februar 1937,22. Februar 1937,,,1937-02-22,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, rosa Farbstift","black ribbon, red crayon, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.11,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen mit rotem Farbstift; Unterschrift mit rosa Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,22. Februar 1937,22. Februar 1937,,,1937-02-22,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, rosa Farbstift","black ribbon, red crayon, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.12,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen mit rotem Farbstift; Unterschrift mit rosa Farbstift
