Verfasser*in,Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datum normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1918-11-26,26.XI.1918,,Rüschlikon,"Frans Masereel | Genève | 8, rue de l'aubepine",FRE,Postkarte,Postcard,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.1,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,6. II 1919,6. II 1919,,,1919-02-06,,Rüschlikon,,"Monsieur | Frans Masereel | Genève | 8, rue de l'aubepine",FRE,Postkarte,Postcard,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.2,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Winternitz, Friderike von",http://d-nb.info/gnd/118637460,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,20/II,20/II,,,1919-02-20,,,Rüschlikon,M. Frans Masereel | Genève | 8 Avenue d'Aubépine,FRE,Postkarte,Postcard,Schwarze Tinte,Black ink,"Friderike Zweig, Stefan Zweig",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.3,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,Stefan Zweig,http://d-nb.info/gnd/118637479,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,Jeudi,Jeudi,6. März 1919,6th March 1919,1919-03-06,,,Rüschlikon,,FRE,Briefpapier,Writing Paper,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.4,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,März 1919,March 1919,1919-03,,,Rüschlikon,,FRE,Briefpapier,Writing Paper,"Violette Tinte, roter Farbstift","Purple ink, red crayon",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.5,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,März 1919,March 1919,1919-03,,,Rüschlikon,,FRE,Briefpapier,Writing Paper,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.6,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1919-03-24,24.III.1919,Buchs,,"Monsieur Frans Masereel | Genève | 8, rue de l'aubepine",FRE,Postkarte,Postcard,Schwarze Tinte,Black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.7,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1919-05-05,5.V.1919,Salzburg,,"Frans Masereel | Genève (Schweiz) | 8, rue de l'aubepine",FRE,Ansichtspostkarte: Panorama der Stadt Salzburg,Picture postcard: Panorama der Stadt Salzburg,"Schwarze Tinte, blaue Stempelfarbe","Black ink, blue stamp ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.8,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,"Stempel: ""Zensurstelle Feldkirch 16"". Abbildung auf der Vorderseite von Zweig beschriftet.","Stamp: ""Zensurstelle Feldkirch 16"". Picture with annotation by Stefan Zweig.",,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1919-05-12,12.V.1919,Salzburg,,"Monsieur Frans Masereel | Genève | 8, rue de l'aubepine | Schweiz",FRE,Postkarte,Postcard,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.9,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1919-05-20,20.V.1919,Salzburg,,"Frans Masereel | Genf (Schweiz) | 8, rue de l'aubepine | Suisse romande",FRE,Postkarte,Postcard,"Violette Tinte, blaue Stempelfarbe","Purple ink, blue stamp ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.10,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,"Stempel: ""Zensuriert Zensurstelle 48. Feldkirch""","Stamp: ""Zensuriert Zensurstelle 48. Feldkirch""",,
