layer,kind,old_iri,new_iri,name_source,note
szdo,AnnotationProperty,https://gams.uni-graz.at/o:szd.ontology#entsprichtPID,https://gams.uni-graz.at/o:szd.ontology#correspondsToPID,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Akteur,https://gams.uni-graz.at/o:szd.ontology#Agent,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Aufbewahrungsort,https://gams.uni-graz.at/o:szd.ontology#Location,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Aufsatzsammlung,https://gams.uni-graz.at/o:szd.ontology#EssayCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Autograph_v0,https://gams.uni-graz.at/o:szd.ontology#Autograph,v1.x alias of the GAMS term,deprecated in v1.2.0
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Autographensammlung,https://gams.uni-graz.at/o:szd.ontology#AutographCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Begegnung,https://gams.uni-graz.at/o:szd.ontology#Encounter,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Beilage,https://gams.uni-graz.at/o:szd.ontology#Enclosure,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#BelletristischesWerk,https://gams.uni-graz.at/o:szd.ontology#FictionalWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Bibliothekssammlung,https://gams.uni-graz.at/o:szd.ontology#LibraryCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#BiographischesEreignis,https://gams.uni-graz.at/o:szd.ontology#BiographicalEvent,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#BiographischesWerk,https://gams.uni-graz.at/o:szd.ontology#BiographicalWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Buch,https://gams.uni-graz.at/o:szd.ontology#Book,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#DigitalesObjekt,https://gams.uni-graz.at/o:szd.ontology#DigitalObject,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#DramatischesWerk,https://gams.uni-graz.at/o:szd.ontology#DramaticWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Entstehungsort,https://gams.uni-graz.at/o:szd.ontology#PlaceOfOrigin,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#EssayistischesWerk,https://gams.uni-graz.at/o:szd.ontology#EssayisticWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Exemplar,https://gams.uni-graz.at/o:szd.ontology#Item,LRM,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Exilereignis,https://gams.uni-graz.at/o:szd.ontology#ExileEvent,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Faksimile,https://gams.uni-graz.at/o:szd.ontology#Facsimile,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Geburt,https://gams.uni-graz.at/o:szd.ontology#Birth,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#GeographischerOrt,https://gams.uni-graz.at/o:szd.ontology#GeographicalPlace,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#HistorischesWerk,https://gams.uni-graz.at/o:szd.ontology#HistoricalWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#InstitutionellesEreignis,https://gams.uni-graz.at/o:szd.ontology#InstitutionalEvent,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Konvolut,https://gams.uni-graz.at/o:szd.ontology#Ensemble,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Korrekturfahne,https://gams.uni-graz.at/o:szd.ontology#GalleyProof,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#KorrespondenzKonvolut,https://gams.uni-graz.at/o:szd.ontology#BundleOfCorrespondence,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Korrespondenzsammlung,https://gams.uni-graz.at/o:szd.ontology#CorrespondenceCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Lebensdokument,https://gams.uni-graz.at/o:szd.ontology#PersonalDocument,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Lebensdokumentesammlung,https://gams.uni-graz.at/o:szd.ontology#PersonalDocumentsCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#LyrischesWerk,https://gams.uni-graz.at/o:szd.ontology#PoeticWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Manuskript,https://gams.uni-graz.at/o:szd.ontology#Manuscript,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#METSObjekt,https://gams.uni-graz.at/o:szd.ontology#METSObject,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Nachlass,https://gams.uni-graz.at/o:szd.ontology#Estate,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#NachlassObjekt,https://gams.uni-graz.at/o:szd.ontology#Record,RiC-O `rico:Record`,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Notizbuch,https://gams.uni-graz.at/o:szd.ontology#Notebook,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Ort,https://gams.uni-graz.at/o:szd.ontology#Place,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Provenienzereignis,https://gams.uni-graz.at/o:szd.ontology#ProvenanceEvent,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#ProvenienzmerkmalInstanz,https://gams.uni-graz.at/o:szd.ontology#ProvenanceFeatureInstance,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Publikationsereignis,https://gams.uni-graz.at/o:szd.ontology#PublicationEvent,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Reise,https://gams.uni-graz.at/o:szd.ontology#Journey,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#SammelWerk,https://gams.uni-graz.at/o:szd.ontology#CollectedWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Sammlung,https://gams.uni-graz.at/o:szd.ontology#Collection,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Sekundaerliteratur,https://gams.uni-graz.at/o:szd.ontology#SecondaryLiterature,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#ThematischeSammlung,https://gams.uni-graz.at/o:szd.ontology#ThematicCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Tod,https://gams.uni-graz.at/o:szd.ontology#Death,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Typoskript,https://gams.uni-graz.at/o:szd.ontology#Typescript,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Typoskriptdurchschlag,https://gams.uni-graz.at/o:szd.ontology#CarbonCopyTypescript,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Uebersetzungswerk,https://gams.uni-graz.at/o:szd.ontology#TranslationWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Umfang,https://gams.uni-graz.at/o:szd.ontology#Extent,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#VorwortNachwort,https://gams.uni-graz.at/o:szd.ontology#ForewordAfterword,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Werk,https://gams.uni-graz.at/o:szd.ontology#WorkIndexEntry,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#WerkExpression,https://gams.uni-graz.at/o:szd.ontology#Expression,LRM,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Werksammlung,https://gams.uni-graz.at/o:szd.ontology#WorksCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#WissenschaftlichesEreignis,https://gams.uni-graz.at/o:szd.ontology#ScholarlyEvent,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#anmerkung,https://gams.uni-graz.at/o:szd.ontology#note,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#aufschrift,https://gams.uni-graz.at/o:szd.ontology#identifyingInscription,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#beschreibstoff,https://gams.uni-graz.at/o:szd.ontology#writingMaterial,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#beschreibung,https://gams.uni-graz.at/o:szd.ontology#description,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#bindung,https://gams.uni-graz.at/o:szd.ontology#binding,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#blattanzahl,https://gams.uni-graz.at/o:szd.ontology#leafCount,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#datum,https://gams.uni-graz.at/o:szd.ontology#when,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#entstehungsdatum,https://gams.uni-graz.at/o:szd.ontology#dateOfCreation,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#fruehestensDatum,https://gams.uni-graz.at/o:szd.ontology#notBefore,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#geburtsdatum,https://gams.uni-graz.at/o:szd.ontology#birth,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#kategorie,https://gams.uni-graz.at/o:szd.ontology#category,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#nachname,https://gams.uni-graz.at/o:szd.ontology#surname,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#namensform,https://gams.uni-graz.at/o:szd.ontology#nameVariant,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#objekttyp,https://gams.uni-graz.at/o:szd.ontology#objectType,English label,
