datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Aufsatzablage/SZDESS.xml,SZDESS.28,2611,"author/@ref=""#SZDPER.28""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.30,2797,"author/@ref=""#SZDPER.30""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.31,2880,"author/@ref=""#SZDPER.31""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.32,2970,"author/@ref=""#SZDPER.32""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.33,3059,"author/@ref=""#SZDPER.33""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.34,3148,"author/@ref=""#SZDPER.34""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.36,3350,"author/@ref=""#SZDPER.36""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.37,3442,"author/@ref=""#SZDPER.37""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.39,3628,"author/@ref=""#SZDPER.39""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.41,3796,"author/@ref=""#SZDPER.41""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.42,3890,"author/@ref=""#SZDPER.42""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.43,3985,"author/@ref=""#SZDPER.43""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.44,4079,"author/@ref=""#SZDPER.44""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.46,4251,"author/@ref=""#SZDPER.46""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.48,4417,"author/@ref=""#SZDPER.48""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.50,4593,"author/@ref=""#SZDPER.50""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.52,4777,"author/@ref=""#SZDPER.52""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.54,4945,"author/@ref=""#SZDPER.54""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.55,5028,"author/@ref=""#SZDPER.55""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.56,5106,"author/@ref=""#SZDPER.56""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.57,5197,"author/@ref=""#SZDPER.57""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.58,5274,"author/@ref=""#SZDPER.58""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.59,5357,"author/@ref=""#SZDPER.59""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.60,5435,"author/@ref=""#SZDPER.60""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.62,5621,"author/@ref=""#SZDPER.62""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.63,5719,"author/@ref=""#SZDPER.63""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.64,5806,"author/@ref=""#SZDPER.64""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.65,5887,"author/@ref=""#SZDPER.65""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.66,5978,"author/@ref=""#SZDPER.66""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.67,6076,"author/@ref=""#SZDPER.67""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.69,6260,"author/@ref=""#SZDPER.69""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.70,6357,"author/@ref=""#SZDPER.70""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.71,6447,"author/@ref=""#SZDPER.71""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.73,6615,"author/@ref=""#SZDPER.73""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.75,6801,"author/@ref=""#SZDPER.75""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.77,6986,"author/@ref=""#SZDPER.77""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.78,7081,"author/@ref=""#SZDPER.78""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.79,7178,"author/@ref=""#SZDPER.79""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.80,7255,"author/@ref=""#SZDPER.80""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.81,7344,"author/@ref=""#SZDPER.81""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.82,7437,"author/@ref=""#SZDPER.82""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.83,7531,"author/@ref=""#SZDPER.83""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.84,7627,"author/@ref=""#SZDPER.84""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
