datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Index/Person/SZDPER.xml,SZDPER.1661,18110,"person/@xml:id=""SZDPER.1661"" (Benaroya, Mois (1896–1967))","SZDPER.92 (Benaroja, Mois)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1990,19765,"person/@xml:id=""SZDPER.1990"" (Benaroya, Mois)","SZDPER.92 (Benaroja, Mois)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.92,1099,"person/@xml:id=""SZDPER.92""","birth=1896, death=1967",Angaben übernommen
data/Index/Person/SZDPER.xml,SZDPER.2115,20392,"person/@xml:id=""SZDPER.2115"" (Ferenčak, Mirko M.)","SZDPER.388 (Ferenćak, Mirko M.)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1758,18642,"person/@xml:id=""SZDPER.1758"" (Friedenthal, Richard (1896-1979))","SZDPER.435 (Friedenthal, Richard)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1819,18965,"person/@xml:id=""SZDPER.1819"" (Hirschfeld, Georg (1873-1942))","SZDPER.616 (Hirschfeld, Georg)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1971,19699,"person/@xml:id=""SZDPER.1971"" (Hünich, Fritz Adolf)","SZDPER.657 (Hünich, Fritz Adolf)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1696,18290,"person/@xml:id=""SZDPER.1696"" (Pange, Pauline de)","SZDPER.1060 (Pange, Pauline de)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2080,20114,"person/@xml:id=""SZDPER.2080"" (Reik, Theodor)","SZDPER.1150 (Reik, Theodor)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1978,19723,"person/@xml:id=""SZDPER.1978"" (Russel, Archibald G.B.)","SZDPER.1221 (Russell, Archibald George Blomefield), diverging authority number http://d-nb.info/gnd/116710810 dropped",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2105,20314,"person/@xml:id=""SZDPER.2105"" (Danowsky, Simeon)","SZDPER.278 (Danowski, Simeon)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1731,18485,"person/@xml:id=""SZDPER.1731"" (Isenstein, Harald Kurt (1898-1980))","SZDPER.2008 (Isenstein, Harald Kurt)",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2008,19813,"person/@xml:id=""SZDPER.2008""","birth=1898, death=1980",Angaben übernommen
data/Index/Person/SZDPER.xml,SZDPER.2184,20893,"person/@xml:id=""SZDPER.2184"" (Podbieliki, Gert René)","SZDPER.2064 (Podbielski, Gert René)",SZDPER-Eintrag entfernt
data/Correspondence/SZDKOR.xml,SZDKOR.32,1632,"@ref=""#SZDPER.1990""","@ref=""#SZDPER.92""",Verweis umgestellt
data/Index/Person/SZDPER.xml,SZDPER.1935,19527,"person/@xml:id=""SZDPER.1935"" (Kesten, Hermann (1900-1996))","SZDPER.1574 (Kesten, Hermann), diverging authority number http://d-nb.info/gnd/1185617155 dropped",SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1099,12169,"person/@xml:id=""SZDPER.1099"" (Pilnjak, Boris Andrejewitsch)","SZDPER.1581 (Pilnjak, Boris Andrejewitsch), diverging authority number http://d-nb.info/gnd/1089928157 dropped",SZDPER-Eintrag entfernt
