datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Autograph/SZDAUT.xml,SZDAUT.519,30586,"@ref=""#SZDPER.194 SZDPER.1579""","@ref=""#SZDPER.194 #SZDPER.1579""",Fragmentmarke ergänzt
data/Autograph/SZDAUT.xml,SZDAUT.520,30652,"@ref=""#SZDPER.194 SZDPER.1579""","@ref=""#SZDPER.194 #SZDPER.1579""",Fragmentmarke ergänzt
data/Autograph/SZDAUT.xml,SZDAUT.543,32012,"@ref=""#SZDPER.1009 SZDPER.1623""","@ref=""#SZDPER.1009 #SZDPER.1623""",Fragmentmarke ergänzt
data/Autograph/SZDAUT.xml,SZDAUT.641,37771,"@ref=""#SZDPER.1208 SZDPER.1209""","@ref=""#SZDPER.1208 #SZDPER.1209""",Fragmentmarke ergänzt
data/Autograph/SZDAUT.xml,SZDAUT.870,51164,"@ref=""#SZDPER.1588 SZDPER.1617""","@ref=""#SZDPER.1588 #SZDPER.1617""",Fragmentmarke ergänzt
data/Autograph/SZDAUT.xml,SZDAUT.13,859,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/100332811""","term/@ref=""#SZDPER.1577""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.186,11135,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118729438""","term/@ref=""#SZDPER.862""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.186,11137,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118574949""","term/@ref=""#SZDPER.863""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.186,11139,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118780743""","term/@ref=""#SZDPER.865""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.186,11141,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118776770""","term/@ref=""#SZDPER.704""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.186,11143,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118577905""","term/@ref=""#SZDPER.907""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.234,13998,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118636421""","term/@ref=""#SZDPER.1592""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.343,20327,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118614622""","term/@ref=""#SZDPER.1633""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.438,25898,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/1037385446""","term/@ref=""#SZDPER.1630""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.760,44783,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/119368501""","term/@ref=""#SZDPER.1634""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.815,48002,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/1155033477""","term/@ref=""#SZDPER.1632""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.817,48126,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/1155033477""","term/@ref=""#SZDPER.1632""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.820,48311,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/1037757114""","term/@ref=""#SZDPER.1631""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.896,52745,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/100116450""","term/@ref=""#SZDPER.335""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.919,54117,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/11873721X""","term/@ref=""#SZDPER.1635""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.952,56030,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/118637479""","term/@ref=""#SZDPER.1560""",Verweis auf den Term gehoben
data/Autograph/SZDAUT.xml,SZDAUT.992,58373,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/116593822""","term/@ref=""#SZDPER.1629""",Verweis auf den Term gehoben
data/Correspondence/SZDKOR.xml,SZDKOR.719,27300,"@ref=""SZDPER.2216""","@ref=""#SZDPER.2216""",Fragmentmarke ergänzt
data/Correspondence/SZDKOR.xml,SZDKOR.87,4461,"term/@ref fehlt, persName/@ref=""http://d-nb.info/gnd/116430834""","term/@ref=""#SZDPER.1843""",Verweis auf den Term gehoben
