date,szdper,name,status
2026-09-24,SZDPER.3,"Addams, Jane",removed
2026-09-24,SZDPER.10,"Aksakov, Sergej T.",removed
2026-09-24,SZDPER.26,"Anzengruber, Ludwig",removed
2026-09-24,SZDPER.31,Aristoteles,removed
2026-09-24,SZDPER.40,"Auerbach, Bertrand",removed
2026-09-24,SZDPER.51,"Badeni, Kasimir F.",removed
2026-09-24,SZDPER.52,"Baekeland, Leo H.",removed
2026-09-24,SZDPER.53,"Bagger, Eugene S.",removed
2026-09-24,SZDPER.70,"Bartók, Béla",removed
2026-09-24,SZDPER.93,"Benedikt, Moriz",removed
2026-09-24,SZDPER.98,"Benoît, Pierre",removed
2026-09-24,SZDPER.99,"Benz, Carl",removed
2026-09-24,SZDPER.110,"Beuret, Rose",removed
2026-09-24,SZDPER.116,"Binyon, Laurence",removed
2026-09-24,SZDPER.117,"Bismarck, Otto von",removed
2026-09-24,SZDPER.123,"Blériot, Louis",removed
2026-09-24,SZDPER.137,"Bohr, Niels",removed
2026-09-24,SZDPER.148,"Bourbon-Parma, Sixtus von",removed
2026-09-24,SZDPER.149,"Zita, Kaiserin von Österreich",removed
2026-09-24,SZDPER.156,"Brahm, Otto",removed
2026-09-24,SZDPER.165,"Brettauer, Josefine",removed
2026-09-24,SZDPER.166,"Brettauer, Samuel",removed
2026-09-24,SZDPER.170,"Briand, Aristide",removed
2026-09-24,SZDPER.174,"Brockdorff-Rantzau, Ulrich von",removed
2026-09-24,SZDPER.187,"Budberg, Mura",removed
2026-09-24,SZDPER.192,"Bülow, Bernhard von",removed
2026-09-24,SZDPER.196,"Burke, Edmund",removed
2026-09-24,SZDPER.222,"Cavell, Edith",removed
2026-09-24,SZDPER.223,"Cazals, Frédéric-Auguste",removed
2026-09-24,SZDPER.226,"Cézanne, Paul",removed
2026-09-24,SZDPER.227,"Chamberlain, Austen",removed
2026-09-24,SZDPER.232,"Charcot, Jean Martin",removed
2026-09-24,SZDPER.233,"Charmatz, Richard",removed
2026-09-24,SZDPER.253,"Conrad von Hötzendorf, Franz",removed
2026-09-24,SZDPER.259,"Cortés, Hernán",removed
2026-09-24,SZDPER.269,"Houville, Gérard d'",removed
2026-09-24,SZDPER.271,"Dahn, Felix",removed
2026-09-24,SZDPER.272,"Daimler, Gottlieb",removed
