date,file,shelfmark,field,old,new,evidence
2026-09-24,szd.korrespondenzen.clauser-suzanne.xml,SZ-SAM/AK.39,msIdentifier/altIdentifier/idno[@type='PID'],"<idno type=""PID"">o:szd.3326</idno>","<idno type=""PID"">o:szd.683</idno>","verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.despres-fernand.xml,SZ-SAM/AK.43,msIdentifier/altIdentifier/idno[@type='PID'],"<idno type=""PID"">o:szd.3331</idno>","<idno type=""PID"">o:szd.612</idno>","verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.despres-fernand.xml,SZ-SAM/AK.44,msIdentifier/altIdentifier/idno[@type='PID'],"<idno type=""PID"">o:szd.3332</idno>","<idno type=""PID"">o:szd.613</idno>","verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.diettrich-fritz.xml,SZ-SAM/AK.46,msIdentifier/altIdentifier/idno[@type='PID'],"<idno type=""PID"">o:szd.3334</idno>","<idno type=""PID"">o:szd.684</idno>","verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.lovric-bozo.xml,SZ-SAM/AK.112,msIdentifier/altIdentifier/idno[@type='PID'],"<idno type=""PID"">o:szd.3115</idno>","<idno type=""PID"">o:szd.392</idno>","verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.fleischer-victor.xml,SZ-LAS/B3.73,msIdentifier/altIdentifier/idno[@type='PID'] (added),(added),o:szd.1257,"verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.fleischer-victor.xml,SZ-LAS/B3.74,msIdentifier/altIdentifier/idno[@type='PID'] (added),(added),o:szd.1258,"verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.fleischer-victor.xml,SZ-LAS/B3.76,msIdentifier/altIdentifier/idno[@type='PID'] (added),(added),o:szd.1260,"verify-verknuepfung.md, confirmed-link: object exists in GAMS, DC title and dc:source carry the shelfmark, member of context:szd.facsimiles.korrespondenzen, re-checked live"
2026-09-24,szd.korrespondenzen.fleischer-victor.xml,SZ-SHB/B3,biblFull entry (deleted),(added),,"verify-korrespondenz-daten.md and verify-verknuepfung.md, confirmed-data: no object carries the bare signature SZ-SHB/B3, its pieces are SZ-SHB/B3.1-5 and belong to the Kaemmerer correspondence; SZ-SEF/B3 already carries the facsimile in this same konvolut"
2026-09-24,szd.korrespondenzen.fleischer-victor.xml,SZ-SEF/B3,correspAction (sender/recipient split),"<correspDesc type=""fromZweig"">
              <correspAction type=""sent"">
                <persName>
                  <surname>Datum</surname>
                  <forename>Brief an Victor Fleischer ohne</forename>
                </persName>
              </correspAction>
            </correspDesc>","<correspDesc type=""fromZweig"">
              <correspAction type=""sent"">
                <persName ref=""http://d-nb.info/gnd/118637479"">
                  <surname>Zweig</surname>
                  <forename>Stefan</forename>
                </persName>
              </correspAction>
              <correspAction type=""received"">
                <persName ref=""https://d-nb.info/gnd/116601485"">
                  <surname>Fleischer</surname>
                  <forename>Victor</forename>
                </persName>
              </correspAction>
            </correspDesc>","verify-korrespondenz-daten.md, confirmed-data: correspDesc type='fromZweig' with a single correspAction[@type='sent'] whose persName held the whole title phrase 'Brief an Victor Fleischer ohne Datum' instead of a name; the title's own wording establishes sender Stefan Zweig, recipient Victor Fleischer (GND already used elsewhere in this file)"
