Verfasser*in,Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datum normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reitter, Eugenie",,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1913-07-04,4 VII. 13,Marienbad,,,GER,"Ansichtspostkarte: ""MARIENBAD. Café Maxthal.""","Picture postcard: ""MARIENBAD. Café Maxthal.""",schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B5.18,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Brünn, Anastasius-Grün-Gasse",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Monath, Elisabeth",,,,"1 Brief, Manuskript, 1 Blatt; 1 Kuvert","1 letter, manuscript, 1 leaf; 1 envelope",,,,,,,1940-08-26,26 AGO 40,Rio,,,GER,Schreibpapier und Briefkuvert,Writing paper and envelope,"violette Tinte, schwarze Tinte","purple ink, black ink","Stefan Zweig, Lotte Zweig",,http://d-nb.info/gnd/1047605287,SZ-SEF/B7,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,"Zweig, Lotte; Monath, Paul",http://d-nb.info/gnd/116001151; ,Zusätzliche Beschriftung zur Zustellung,Additional labelling for delivery,"Hewlett (Long Island), Hewlett Harbour",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Sinaiberger, Hugo",http://d-nb.info/gnd/117400688,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1927-03-12,12 III 27,Cannes,,,GER,Postkarte,Postcard,"schwarze Tinte, violette Tinte","black ink, purple ink","Friderike Zweig, Stefan Zweig",,http://d-nb.info/gnd/1047605287,SZ-SEF/B8,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,"Zweig, Friderike",http://d-nb.info/gnd/118637460,Von Stefan Zweig diktierter und unterschriebener Text in Friderike Zweigs Handschrift,Text in Friderike Zweig's handwriting dictated and signed by Stefan Zweig ,"Prag, Palais Lucerna",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,"1 Briefkarte, Manuskript, 1 Blatt","1 letter card, manuscript, 1 leaf",,,,,,,,,Salzburg,,,GER,Briefkarte Stefan Zweig,Stefan Zweig letter card,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B9.1,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,I9. Dec.,,19. Dezember 1926,19. December 1926,1926-12-19,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"schwarzes Farbband, Bleistift","black ribbon, pencil",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B9.2,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,1927,1927,1927,,,,,GER,Schreibpapier,Writing paper,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B9.3,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Alfred",http://d-nb.info/gnd/1161770038,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1936-08-09,9 VIII 36,Cherbourg,,,GER,"Ansichtspostkarte: ""ROYAL MAIL TURBINE STEAMER  ""ALCANTARA"" (TWIN  SCREW 22.209 TONS GROSS) SOUTH AMERICAN SERVICE""","Picture postcard: ""ROYAL MAIL TURBINE STEAMER  ""ALCANTARA"" (TWIN  SCREW 22.209 TONS GROSS) SOUTH AMERICAN SERVICE""",schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B10,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Wien, Esslinggasse 16",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Friderike",http://d-nb.info/gnd/118637460,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,Herbst 22,Herbst 22,Oktober 1922,October 1922,1922-10,,,Salzburg,,GER,Schreibpapier,Writing paper,"violette Tinte, roter Farbstift","purple ink, red crayon",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B11,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Ida",http://d-nb.info/gnd/1080249249,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,10. August 1938,10. August 1938,,,1938-08-10,,London,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B12.1,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Ida",http://d-nb.info/gnd/1080249249,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1935-01-19,19 I 35,New York,,,GER,"Ansichtspostkarte: ""SS. CONTE DI SAVOIA NEW 50.000 TONS - SUPERLINER""","Picture postcard: ""SS. CONTE DI SAVOIA NEW 50.000 TONS - SUPERLINER""",schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B12.2,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Wien, Garnisongasse 10",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Csokor, Franz Theodor",http://d-nb.info/gnd/118522914,,,1 Kuvert,1 envelope,,,,,,,1908-06-11,11 6 08,Baden bei Wien,,,GER,Briefkuvert,Envelope,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B13,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Mödling bei Wien, Jasomirgottstraße 6",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Weisse, Adolf",http://d-nb.info/gnd/11729943X,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,Mai 1912,May 1912,1912-05,,Baden bei Wien,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B14,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Glücksmann, Heinrich",http://d-nb.info/gnd/116682256,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,11. Sept. 1911,11. Sept. 1911,,,1911-09-11,,Wien,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B15,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Deißinger, Hans",http://d-nb.info/gnd/130137251,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,12. Dezember 1932,12. Dezember 1932,,,1932-12-12,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"violettes Farbband, violette Tinte","purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,HD-AHL/B1,Nachlass Hans Deißinger,Schenkung vor 1997,Gift before 1997,,,,,,
