PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,"Alberts, Margot",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,19. 9. 30,19. 9. 30,,,1930-09-19,,,,,GER,"Ansichtspostkarte: ""Nella Villa Carlotta"" ","Picture postcard: ""Nella Villa Carlotta"" ",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.1,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Der geschriebene Text ist mit Bleistift durchgestrichen.
,,"Alexich-Brettauer, Erna",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. 8. 30.,4. 8. 30.,,,1930-08-04,,,,,GER,"Ansichtspostkarte: ""Salzkammergut, Traunkirchen"" ","Picture postcard: ""Salzkammergut, Traunkirchen"" ",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.2,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Karte wurde in der Mitte geklebt, dadurch Datierung durch den Absender und Beginn der Karte unleserlich."
,,"Ammers-Küller, Jo van",http://d-nb.info/gnd/116299215,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,11. VII. 29.,11. VII. 29.,,,1929-07-11,,,,,GER,"Ansichtspostkarte: ""Praha. Orloj na staroměstské radnici.""","Picture postcard: ""Praha. Orloj na staroměstské radnici.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.3,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Unbekannt/Unidentified (?, Tonny)",,,,"Salzburg, Kapuzinerberg 5","Oben rechts dürfte die Briefmarke entfernt worden sein, neben ""Jo"" noch ein unidentifizierter Name in ihrer Schrift."
,,"Arens, Hanns",http://d-nb.info/gnd/116339780,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1927-09-05,5. 9. 1927,,,,GER,"Ansichtspostkarte: ""Bodetal im Harz. Partie am Waldkater""","Picture postcard: ""Bodetal im Harz. Partie am Waldkater""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.5,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Auf der Ansichtskarte ist weder vom Verfasser noch vom Empfänger ein Datum vermerkt.
,,Baer,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1928-08,8. 28,,,,GER,"Ansichtspostkarte [Moskau, Sucharew-Turm]","Picture postcard  [Moscow, Sukharev Tower]",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.205,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,Vorname unleserlich,first name illegible,"Salzburg, Kapuzinerberg 5","Poststempel unleserlich; Karte wurde 3 Mal mit einem Streifen geklebt, Name dadurch unleserlich; Ort und Datum unleserlich; Schriftzug in kyrillischer Schrift auf der Karte."
,,"Bandler, Hildegard",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. 4. 1931,6. 4. 1931,,,1931-04-06,,,,,GER,"Ansichtspostkarte: ""Trieste – Riva 3 Novembre""","Picture postcard: ""Trieste – Riva 3 Novembre""",blauschwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.6,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Rechts oben fehlen die Briefmarken. Für die Abschiedsgrüße hat sie die Ansichtskarte drehen müssen.
,,"Bauer, Walter",http://d-nb.info/gnd/118507362,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. 1. 1933,7. 1. 1933,,,1933-01-07,,,,,GER,"Ansichtspostkarte: ""Nürnberg | Schöner Brunnen""","Picture postcard: ""Nürnberg | Schöner Brunnen""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.284,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Bauer, Klaus",,,,"Salzburg, Kapuzinerberg 5",Vorderseite: Nürnberg. Schöner Brunnen
,,"Bazalgette, Léon",http://d-nb.info/gnd/132731568,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24 Janvier 21,24 Janvier 21,,,1921-01-24,,,,,FRE,"Ansichtspostkarte: ""Paris – Au Jardin des Tuileries – Le Bassin""","Picture postcard: ""Paris – Au Jardin des Tuileries – Le Bassin""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.10,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Zifferer, Paul; Bloch, Jean-Richard",http://d-nb.info/gnd/118772899; http://d-nb.info/gnd/118659073,,,"Salzburg, Kapuzinerberg 5",Zusätzlich Grußworte und Unterschriften von Paul Zifferer und Jean-Richard Bloch.
,,"Bazalgette, Léon",http://d-nb.info/gnd/132731568,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,16 Sept 24,16 Sept 24,,,1924-09-16,,,,,FRE,"Ansichtspostkarte: ""Coutances. – Vue générale""","Picture postcard: ""Coutances. – Vue générale""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.11,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Bazalgette, Léon",http://d-nb.info/gnd/132731568,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31 déc 1903,31 déc 1903,,,1903-12-31,,,,,FRE,"Ansichtspostkarte: ""Paris – Place de la Concorde au crépuscule – Effet de pluie""","Picture postcard: ""Paris – Place de la Concorde au Crépuscule – Effet de Pluie""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.7,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Der Text und die Grüße sind auf der Vorderseite am Bild vermerkt.
,,"Bazalgette, Léon",http://d-nb.info/gnd/132731568,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1905-06-13,13 JUIN 05,,,,FRE,"Ansichtspostkarte: ""La Normandie – La 'C. P. A. | Environs de Flers – La Vallée du Noireau""","Picture postcard: ""La Normandie – La 'C. P. A. | Environs de Flers – La Vallée du Noireau""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.8,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Paris, 5 rue Victor Massé",Datum des Poststempels.
,,"Bazalgette, Léon",http://d-nb.info/gnd/132731568,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26 Déc.11,26 Déc.11,,,1911-12-26,,,,,FRE,"Ansichtspostkarte: ""Paris – La Seine vue des Tours de Notre Dame""","Picture postcard: ""Paris – La Seine vue des Tours de Notre Dame""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.9,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,,
,,"Begovic, Milan",http://d-nb.info/gnd/119047888,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,I. VI. 913,I. VI. 913,,,1913-06-01,,,,,GER,"Ansichtspostkarte: ""Lovrana u. der Quarnero mit er Insel Cherso""","Picture postcard: ""Lovrana u. der Quarnero mit er Insel Cherso""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.12,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Vorne auf der Karte ist vermerkt: ""I.VI.90., [??] Abbajia postlagernd""."
,,"Begovic, Milan",http://d-nb.info/gnd/119047888,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,27. 7. 13.,27. 7. 13.,,,1913-07-27,,,,,GER,"Ansichtspostkarte: ""Banjaluka – Gornji Šeher""","Picture postcard: ""Banjaluka – Gornji Šeher""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.13,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Rechts oben fehlt die Briefmarke und der Poststempel ist dadurch auch nur zum Teil erkennbar, das Datum der Vorlage und der Datumsvermerk auf der Vorderseite stimmen nicht überein."
,,"Behrend, Walter",http://d-nb.info/gnd/116110686,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,2. 9. 29,2. 9. 29,,,1929-09-02,,,,,GER,"Ansichtspostkarte: ""Kitzbühel |  Schwarzsee mit dem Wilden Kaiser Tirol.""","Picture postcard: ""Kitzbühel | Schwarzsee mit dem Wilden Kaiser Tirol.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.14,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,,,"Salzburg, Kapuzinerberg 5",Der zweite und eigentliche Absender dieser Postkarte ist nicht identifiziert.
,,"Bergmann, Alfred",http://d-nb.info/gnd/119243229,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,19/9 26,19/9 26,,,1926-09-19,,,,,GER,"Ansichtspostkarte: ""Der Könisgssee bei Berchtesgaden""","Picture postcard: ""Der Könisgssee bei Berchtesgaden""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.15,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"München, Hotel Leinfelder",Die Datumsangabe des Absenders und des Poststempels unterscheiden sich um einen Tag.
,,Bischoff,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. IX  11,23. IX  11,,,1911-09-23,,,,,GER,"Ansichtspostkarte: ""Liège – L'Université""","Picture postcard: ""Liège – L'Université""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.16,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Wien, Kochgasse 8",Rechts oben fehlt ein Eck der Karte; die Karte selbst ist etwas verbogen/aufgewellt.
,,"Bischoff, Friedrich Walther",http://d-nb.info/gnd/118663518,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5. 10. 28,5. 10. 28,,,1928-10-05,,,,,GER,"Ansichtspostkarte: ""Wein-Terrasse 'Vier Jahreszeiten' Breslau, Gartenstr. 66/70""","Picture postcard: ""Wein-Terrasse 'Vier Jahreszeiten' Breslau, Gartenstr. 66/70""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.17,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Zoff, Otto; Marlitz, Robert; Unbekannt/Unidentified",http://d-nb.info/gnd/118773100; ; ,,,"Salzburg, Kapuzinerberg 5","Unterschrift unter erstem Grußwort unleserlich. Weitere Unterschriften: Otto Zoff, Franz Joseph (unleserlich) und Robert Marlitz."
,,"Bithell, Jethro",http://d-nb.info/gnd/116197889,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,Aug 9/09.,Aug 9/09.,,,1909-08-09,,,,,ENG,"Ansichtspostkarte: ""Dorfpartie auf Föhr""","Picture postcard: ""Dorfpartie auf Föhr""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.18,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absenderadresse angegeben.
,,"Block, Paul",http://d-nb.info/gnd/116202904,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. 8. 1920.,3. 8. 1920.,,,1920-08-03,,,,,GER,"Ansichtspostkarte: ""Badgastein""","Picture postcard: ""Badgastein""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.19,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Tintenflecke auf der Vorderseite; Tintenstrich bei der Empfängeradresse.
,,"Bosschère, Jean de",http://d-nb.info/gnd/118830082,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. Juni 1920,20. Juni 1920,,,1920-06-20,,,,,FRE,"Ansichtspostkarte: ""Huis 'de Gulde Spoor' Antwerpen. – St- Christoffelzaal, schoorsteenzijde.""","Picture postcard: ""Huis 'de Gulde Spoor' Antwerpen. – St- Christoffelzaal, schoorsteenzijde.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.20,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Rechts oben fehlen die Briefmarken und das Datum ist dadurch nicht mehr ersichtlich.
,,"Rossi, Hedwig",http://d-nb.info/gnd/116631236,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,19. I. 30,19. I. 30,,,1930-01-19,,,,,GER,"Ansichtspostkarte: ""Köbenhavn. Det kgl. Teater""","Picture postcard: ""Köbenhavn. Det kgl. Teater""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.21,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absenderadresse angegeben; Gruß auf der Vorderseite.
,,"Breuil, André Jullien du",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1929-07-29,29. VII. 29,,,,FRE,"Ansichtspostkarte: ""Bad Ischl, Esplanade Salzkammergut.""","Picture postcard: ""Bad Ischl, Esplanade Salzkammergut.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.22,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",GND=0; http://viaf.org/viaf/103660710
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6 Févr. 07,6 Févr. 07,,,1907-02-06,,,,,GER,"Ansichtspostkarte: ""Blida – Bois Sacré""","Picture postcard: ""Blida – Bois Sacré""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.23,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Unterzeichnet mit ""A."""
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5. 3. 07,5. 3. 07,,,1907-03-05,,,,,GER,"Ansichtspostkarte: ""Sousse. – Panorama pris de la Casbah.""","Picture postcard: ""Sousse. – Panorama pris de la Casbah.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.24,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Rechts oben ist ein Stück von der Ansichtskarte heruntergerissen, möglicherweise mit der Briefmarke."
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,18. 4. 07,18. 4. 07,,,1907-04-18,,,,,GER,"Ansichtspostkarte: ""Edlach bei Reichenau in N.-Oe., 593 m Seehöhe.""","Picture postcard: ""Edlach bei Reichenau in N.-Oe., 593 m Seehöhe.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.25,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Rechts oben fehlt die Briefmarke, ein weißer Fleck ist ersichtlich."
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,9. 2. 07.,9. 2. 07.,,,1907-02-09,,,,,GER,"Ansichtspostkarte: ""Biskra. — Au bord de l'Oued.""","Picture postcard: ""Biskra. — Au bord de l'Oued.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.257,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28. Okt. 07.,28. Okt. 07.,,,1907-10-28,,,,,GER,"Ansichtspostkarte: ""Kampala & Nakasero, Uganda""","Picture postcard: ""Kampala & Nakasero, Uganda""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.26,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Unterzeichnet mit ""A."""
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,"1. Juli, 08.","1. Juli, 08.",,,1908-07-01,,,,,GER,"Ansichtspostkarte: ""Gurgl g. d. Oetztaler-Ferner""","Picture postcard: ""Gurgl g. d. Oetztaler-Ferner""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.27,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Unterzeichnet mit ""A."""
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. II. 1910.,4. II. 1910.,,,1910-02-04,,,,,GER,"Ansichtspostkarte: ""Le Caire-Ghezireh Palace Hôtel | Vue prise de la grotte""","Picture postcard: ""Le Caire-Ghezireh Palace Hôtel | Vue prise de la grotte""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.28,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Hoffmann, Camill; Unbekannt/Unidentified (?, Melli)",http://d-nb.info/gnd/119361973; ,,,"Wien, Kochgasse 8","Unterzeichnet mit ""A."". weitere Grußworte und Unterschriften: Camill Hoffmann und ""Melli""."
,,"Brody, Armand",http://d-nb.info/gnd/115702291X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. Okt. 12,6. Okt. 12,,,1912-10-06,,,,,GER,"Ansichtspostkarte: ""Ludgate Hill, London""","Picture postcard: ""Ludgate Hill, London""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.29,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Die Grüße sind auf der Vorderseite am Bild rechts oben vermerkt.
