run,pid,status,letters,bytes
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.alberts-margot,written,1,6184
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.alexich-brettauer-erna,written,1,6255
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.alfred-und-stefanie-zweig,written,1,4489
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.allert-de-lange,written,1,6527
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.ammers-kuller-jo-van,written,1,6428
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.arens-hanns,written,1,6327
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bad-schallerbach,written,1,4430
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.baer,written,1,6420
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bahr-hermann,written,1,6663
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bandler-hildegard,written,1,6229
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bazalgette-leon,written,5,23015
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.begovic-milan,written,2,9642
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.behrend-walter,written,1,6389
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bellonk-erich,written,1,6096
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.berger-gisela,written,1,6605
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bergmann-alfred,written,1,6223
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bing-edward,written,1,6417
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bischoff,written,1,6285
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bischoff-friedrich-walther,written,1,6573
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bithell-jethro,written,1,6187
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.block-paul,written,1,6158
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bosschere-jean-de,written,1,7196
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.braun-hedwig,written,1,6202
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.breuil-andre-jullien-du,written,1,7085
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.brody-armand,written,8,30418
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bruder-wltzek-buchhandlung,written,1,4705
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.buber-martin,written,1,6246
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.buchhandlung-julius-kittls-nachfolger,written,1,4645
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.bull-wolfgang,written,1,6407
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.burger-emma,written,1,6315
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.burgio-ahrens-berta,written,4,16847
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.cahn-alfredo,written,1,6203
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.capek-karel,written,1,7140
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.cassell-and-company-ltd,written,2,8076
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.clauser-suzanne,written,2,9527
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.clemens-cyril,written,1,6400
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.cohen-betty,written,1,6305
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.coste-hilde,written,1,6195
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.csokor-franz-theodor,written,1,6270
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.czech-suzanne,written,11,19589
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.danowsky-simeon,written,1,6235
2026-09-24T12:59:09+00:00,o:szd.korrespondenzen.daubler-theodor,written,1,6228
