datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Library/SZDBIB.xml,SZDBIB.92,7282,"editor/@ref=""#SZDPER.1628""","editor/@ref=""https://gams.uni-graz.at/o:szd.organisation#SZDORG.51"", orgName/@ref=""https://gams.uni-graz.at/o:szd.organisation#SZDORG.51""",Verweis umgestellt
data/Library/SZDBIB.xml,SZDBIB.410,32160,"editor/@ref=""#SZDPER.1056""","editor/@ref=""https://gams.uni-graz.at/o:szd.organisation#SZDORG.38"", orgName/@ref=""http://d-nb.info/gnd/146456-5""",Verweis umgestellt
data/Library/SZDBIB.xml,SZDBIB.502,39381,"editor/@ref=""#SZDPER.1461""","editor/@ref=""https://gams.uni-graz.at/o:szd.organisation#SZDORG.60"", orgName/@ref=""http://d-nb.info/gnd/1086714458""",Verweis umgestellt
data/Library/SZDBIB.xml,SZDBIB.664,51816,"editor/@ref=""#SZDPER.1626""","editor/@ref=""https://gams.uni-graz.at/o:szd.organisation#SZDORG.36"", orgName/@ref=""http://d-nb.info/gnd/2020891-1""",Verweis umgestellt
data/Index/Person/SZDPER.xml,SZDPER.1056,11760,person/@xml:id=SZDPER.1056 (Österreichischer Frauen-Not-Dienst),SZDORG.38,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1461,16109,person/@xml:id=SZDPER.1461 (Vereinigte Verlegergruppe),SZDORG.60,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1626,17935,person/@xml:id=SZDPER.1626 (Österreichische Galerie Wien),SZDORG.36,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1628,17946,person/@xml:id=SZDPER.1628 (The Jew’s Temporary Shelter),SZDORG.51,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1659,18124,person/@xml:id=SZDPER.1659 (Joint Broadcasting Committee London),SZDORG.28,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1673,18202,person/@xml:id=SZDPER.1673 (Authors Guild),SZDORG.4,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1688,18291,person/@xml:id=SZDPER.1688 (Les Conferénces des Ambassadeurs),SZDORG.29,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1735,18544,person/@xml:id=SZDPER.1735 (Home Office Whitehall),SZDORG.23,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1791,18858,person/@xml:id=SZDPER.1791 (Wydawnictwo J. Przeworskiego (publishing house)),SZDORG.65,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1975,19758,person/@xml:id=SZDPER.1975 (The Sunday Times),SZDORG.54,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1996,19823,person/@xml:id=SZDPER.1996 (Wydawnictwo J. Przeworskiego [publishing house]),SZDORG.65,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2324,21964,person/@xml:id=SZDPER.2324 (Viking Press),SZDORG.61,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2325,21969,person/@xml:id=SZDPER.2325 (Westminster Bank),SZDORG.63,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2326,21974,person/@xml:id=SZDPER.2326 (Großbritannien. Home Office),SZDORG.23,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2327,21979,person/@xml:id=SZDPER.2327 (BDO Binder Hamlyn (London)),SZDORG.6,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.2328,21984,person/@xml:id=SZDPER.2328 (Vita-Lebensversicherungs-Aktiengesellschaft (Zürich)),SZDORG.62,SZDPER-Eintrag entfernt
data/Index/Person/SZDPER.xml,SZDPER.1899,19325,person/@xml:id=SZDPER.1899 (Britain in Pictures),SZDORG.67,SZDPER-Eintrag entfernt
