szdper_id,name,gnd,entscheidung,grund,szdorg_id,quelle
SZDPER.8,Aeschylus,118500856,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.16,Dante Alighieri,118523708,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.25,Angelus Silesius,118503111,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.31,Aristoteles,118650130,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.54,Franco,11853470X,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.308,Dolorosa,116417390,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.309,Donatello,118526693,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.355,El Greco,118722778,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.364,Erasmus von Rotterdam,118530666,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.427,"Franz II., Kaiser des Heiligen Römischen Reiches, als Franz I. Kaiser von Österreich",118534955,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.444,Sueton,118619918,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.583,"Heinrich IV., Frankreich, König",118548174,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.639,Homer,11855333X,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.658,"Huygens, Constantijn, der Ältere",118775391,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.674,Jean Paul,118557211,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.770,Kuro Masu,125005539,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.783,Larin-Kyösti,105511579X,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.809,Lenin,118640402,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.869,Luis de Granada,118729640,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.900,Mark Aurel,118577468,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.997,Moses,118641190,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1009,"Joachim, König von Neapel",118746928,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1040,Novalis,118588893,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1056,Österreichischer Frauen-Not-Dienst,146456-5,org,Körperschaft mit Körperschafts-GND,SZDORG.38,SZDPER
SZDPER.1067,Paracelsus,11859169X,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1100,Pindar,118594427,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1109,"Platen, August, Graf von",118594869,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1110,Plato,118594893,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1129,Vergil,118626574,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1315,Siddharta,118664417,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1327,Sokrates,118615270,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1333,Sophokles,118615688,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1355,Stendhal,118617648,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1400,Taras Bulba,119302349,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1427,Tizian,118622994,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1457,Vercingetorix,118804170,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1461,Vereinigte Verlegergruppe,1086714458,org,"Verlegergruppe, Körperschaft mit GND",SZDORG.60,SZDPER
SZDPER.1477,Voltaire,118627813,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1578,"Frankreich, Königshaus",118662341,unclear,"Dynastie, keine Körperschaft, GND im Personenformat",,SZDPER
SZDPER.1606,"Louis Ferdinand, Prinz von Preußen",118729225,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1626,Österreichische Galerie Wien,2020891-1,org,"Museum, Körperschafts-GND, im Bestand als persName referenziert",SZDORG.36,SZDPER
SZDPER.1628,The Jew’s Temporary Shelter,,org,"Hilfsorganisation, keine Normdatennummer im Bestand",SZDORG.51,SZDPER
SZDPER.1657,Unidentified signatures,,unclear,"Ordnungsplatzhalter der Verzeichnung, kein Akteur",,SZDPER
SZDPER.1659,"Joint Broadcasting Committee, London",10146266-9,org,"Rundfunkgremium, als Nachname/Vorname erfasst, GND aus dem Bestand über Namensgleichheit",SZDORG.28,SZDPER
SZDPER.1673,Authors Guild,1086817966,org,"Berufsverband, GND aus dem Bestand über Namensgleichheit",SZDORG.4,SZDPER
SZDPER.1688,Les Conferénces des Ambassadeurs,1086197240,org,"zwischenstaatliches Gremium, GND aus dem Bestand über Namensgleichheit",SZDORG.29,SZDPER
SZDPER.1734,Sil-Vara,117383392,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1735,"Home Office, Whitehall",,org,"Behörde, als Nachname/Vorname erfasst, mit SZDPER.2326 zusammengeführt",SZDORG.23,SZDPER
SZDPER.1791,Wydawnictwo J. Przeworskiego (publishing house),,org,"Verlag, Dublette zu SZDPER.1996",SZDORG.65,SZDPER
SZDPER.1804,Filed as Unidentified signatures:,,unclear,"Ordnungsplatzhalter der Verzeichnung, kein Akteur",,SZDPER
SZDPER.1805,Filed as Zweig Family:,,unclear,"Ordnungsplatzhalter der Verzeichnung, kein Akteur",,SZDPER
SZDPER.1868,Zweig Family,,unclear,"Familie, keine Körperschaft",,SZDPER
SZDPER.1872,Fidus,118687077,person,einnamige Personenansetzung mit Personen-GND,,SZDPER
SZDPER.1899,Britain in Pictures,,org,"Buchreihe, vom Archiv im Checkup 2026-09 als Körperschaft markiert, 2026-09-23 von Hand als SZDORG.67 nachgetragen",SZDORG.67,SZDPER
SZDPER.1975,The Sunday Times,4185027-0,org,"Zeitung, GND aus dem Bestand über Namensgleichheit",SZDORG.54,SZDPER
SZDPER.1996,Wydawnictwo J. Przeworskiego [publishing house],,org,"Verlag, Dublette zu SZDPER.1791",SZDORG.65,SZDPER
SZDPER.2065,Tal Lawsuit,,unclear,"Rechtssache, kein Akteur",,SZDPER
SZDPER.2142,Jeanrenaud,,unclear,"Familienname ohne Vornamen, Zuordnung ungeklärt",,SZDPER
SZDPER.2324,Viking Press,10102943-3,org,"Verlag, Körperschafts-GND, 2026-06 als Person eingetragen",SZDORG.61,SZDPER
SZDPER.2325,Westminster Bank,37689-9,org,"Bank, Körperschafts-GND, 2026-06 als Person eingetragen",SZDORG.63,SZDPER
SZDPER.2326,Großbritannien. Home Office,35565-3,org,"Behörde, Körperschafts-GND, führt den Eintrag mit SZDPER.1735",SZDORG.23,SZDPER
SZDPER.2327,BDO Binder Hamlyn (London),2134286-6,org,"Wirtschaftsprüfung, Körperschafts-GND, 2026-06 als Person eingetragen",SZDORG.6,SZDPER
SZDPER.2328,Vita-Lebensversicherungs-Aktiengesellschaft (Zürich),275785-0,org,"Versicherung, Körperschafts-GND, 2026-06 als Person eingetragen",SZDORG.62,SZDPER
,Adolf Haslinger Literaturstiftung im Literaturarchiv Salzburg,1047604132,org,"Standortindex SZDSTA, SZDSTA.17",SZDORG.1,SZDSTA
,American Guild for German Cultural Freedom,2131189-4,org,im Bestand als orgName mit GND geführt,SZDORG.2,Bestand
,"Antiquariat Leo Liepmannssohn, Berlin",1072986299,org,im Bestand als orgName mit GND geführt,SZDORG.3,Bestand
,Autographenhandlung J. A. Stargardt,2140517-7,org,"Standortindex SZDSTA, SZDSTA.40",SZDORG.5,SZDSTA
,Beethoven-Haus Bonn,2085343-9,org,"Standortindex SZDSTA, SZDSTA.35",SZDORG.7,SZDSTA
,Bennington College,112881-4,org,im Bestand als orgName mit GND geführt,SZDORG.8,Bestand
,Biblioteca Central Municipal Gabriela Mistral,,org,"Standortindex SZDSTA, SZDSTA.20",SZDORG.9,SZDSTA
,Biblioteca Nacional,1003296-4,org,"Standortindex SZDSTA, SZDSTA.26",SZDORG.10,SZDSTA
