szdorg_id,name,gnd,aktion,feld,neuer_wert,geo_codes,orte,bemerkung
SZDORG.2,American Guild for German Cultural Freedom,2131189-4,ergänzt,country,USA,XD-US,"New York, NY",
SZDORG.2,American Guild for German Cultural Freedom,2131189-4,ergänzt,settlement,"New York, NY",XD-US,"New York, NY",
SZDORG.3,"Antiquariat Leo Liepmannssohn, Berlin",1072986299,ergänzt,country,Deutschland,"XA-DXDE, XA-DE-BE",Berlin,
SZDORG.3,"Antiquariat Leo Liepmannssohn, Berlin",1072986299,ergänzt,settlement,Berlin,"XA-DXDE, XA-DE-BE",Berlin,
SZDORG.6,BDO Binder Hamlyn (London),2134286-6,ergänzt,country,England,XA-GB,London,
SZDORG.6,BDO Binder Hamlyn (London),2134286-6,ergänzt,settlement,London,XA-GB,London,
SZDORG.8,Bennington College,112881-4,ergänzt,country,USA,XD-US,"Bennington, Vt.",
SZDORG.8,Bennington College,112881-4,ergänzt,settlement,"Bennington, Vt.",XD-US,"Bennington, Vt.",
SZDORG.11,"Bibliothèque Nationale, Paris",5156217-0,ergänzt,country,Frankreich,XA-FR,Paris,
SZDORG.11,"Bibliothèque Nationale, Paris",5156217-0,ergänzt,settlement,Paris,XA-FR,Paris,
SZDORG.12,"Canadian Authors’ Association, Toronto",815085-0,ergänzt,country,Kanada,XD-CA,Campbellford (Ontario),
SZDORG.12,"Canadian Authors’ Association, Toronto",815085-0,ergänzt,settlement,Campbellford (Ontario),XD-CA,Campbellford (Ontario),
SZDORG.13,Cassell and Company Ltd.,251858-2,ergänzt,country,England,XA-GB,London,
SZDORG.13,Cassell and Company Ltd.,251858-2,ergänzt,settlement,London,XA-GB,London,
SZDORG.14,Das Tagebuch,1220936316,ergänzt,country,Deutschland,XA-DE,,
SZDORG.19,E. P. Tal &amp; Co.,1073075974,ergänzt,country,Österreich,XA-AT-9,Wien,
SZDORG.19,E. P. Tal &amp; Co.,1073075974,ergänzt,settlement,Wien,XA-AT-9,Wien,
SZDORG.20,Erste Donau-Dampfschiffahrts-Gesellschaft,1056582-6,ergänzt,country,Österreich,XA-AT-9,Wien,
SZDORG.20,Erste Donau-Dampfschiffahrts-Gesellschaft,1056582-6,ergänzt,settlement,Wien,XA-AT-9,Wien,
SZDORG.23,Großbritannien. Home Office,35565-3,ergänzt,country,Großbritannien,XA-GB,,
SZDORG.25,Insel-Verlag,43217-9,ergänzt,country,Deutschland,"XA-DE-SN, XA-DDDE, XA-DXDE",Leipzig,
SZDORG.25,Insel-Verlag,43217-9,ergänzt,settlement,Leipzig,"XA-DE-SN, XA-DDDE, XA-DXDE",Leipzig,
SZDORG.28,"Joint Broadcasting Committee, London",10146266-9,ergänzt,country,Großbritannien,XA-GB,,
SZDORG.33,Metro-Goldwin-Mayer Pictures,10290848-5,ergänzt,country,USA,XD-US,"Berlin, Beverly Hills, Calif., New York, NY, Culver City, Calif.",
SZDORG.34,Meulenhoff en Co.,142661-8,ergänzt,country,Niederlande,XA-NL,Amsterdam,
SZDORG.34,Meulenhoff en Co.,142661-8,ergänzt,settlement,Amsterdam,XA-NL,Amsterdam,
SZDORG.35,"Ministry of Information, London",5130410-7,ergänzt,country,Großbritannien,XA-GB,,
SZDORG.36,Österreichische Galerie Wien,2020891-1,ergänzt,country,Österreich,XA-AT-9,Wien,
SZDORG.36,Österreichische Galerie Wien,2020891-1,ergänzt,settlement,Wien,XA-AT-9,Wien,
SZDORG.38,Österreichischer Frauen-Not-Dienst,146456-5,ergänzt,country,Österreich,XA-AT,Österreich,
SZDORG.39,Österreichisches Bundesministerium für Unterricht,1008405-8,ergänzt,country,Österreich,XA-AT,,
SZDORG.41,Schweizerisches Vereinssortiment Olten,2021755-9,ergänzt,country,Schweiz,XA-CH-SO,Olten,
SZDORG.41,Schweizerisches Vereinssortiment Olten,2021755-9,ergänzt,settlement,Olten,XA-CH-SO,Olten,
SZDORG.42,Societe des Auteurs &amp; Compositeurs Dramatiques,5158511-X,ergänzt,country,Frankreich,XA-FR,,
SZDORG.50,The H. W. Wilson Company,5213357-6,ergänzt,country,USA,XD-US,"New York, NY",
SZDORG.50,The H. W. Wilson Company,5213357-6,ergänzt,settlement,"New York, NY",XD-US,"New York, NY",
SZDORG.54,The Sunday Times,4185027-0,ergänzt,country,Großbritannien,XA-GB,,
SZDORG.61,Viking Press,10102943-3,ergänzt,country,USA,XD-US,"New York, NY",
SZDORG.61,Viking Press,10102943-3,ergänzt,settlement,"New York, NY",XD-US,"New York, NY",
SZDORG.62,Vita-Lebensversicherungs-Aktiengesellschaft (Zürich),275785-0,ergänzt,country,Schweiz,XA-CH-ZH,Zürich,
SZDORG.62,Vita-Lebensversicherungs-Aktiengesellschaft (Zürich),275785-0,ergänzt,settlement,Zürich,XA-CH-ZH,Zürich,
SZDORG.63,Westminster Bank,37689-9,ergänzt,country,Großbritannien,XA-GB,,
