id,name,normdaten,verweis_innerhalb_szdper
SZDPER.3,"Addams, Jane",http://d-nb.info/gnd/118643800 http://www.wikidata.org/entity/Q180989 https://de.wikipedia.org/wiki/Jane_Addams,nein
SZDPER.6,"Adler, Victor",http://d-nb.info/gnd/118647075 http://www.wikidata.org/entity/Q366845 https://de.wikipedia.org/wiki/Victor_Adler,nein
SZDPER.10,"Aksakov, Sergej T.",http://d-nb.info/gnd/118637630 http://www.wikidata.org/entity/Q315188 https://de.wikipedia.org/wiki/Sergei_Timofejewitsch_Aksakow,nein
SZDPER.26,"Anzengruber, Ludwig",http://d-nb.info/gnd/11850357X http://www.wikidata.org/entity/Q93718 https://de.wikipedia.org/wiki/Ludwig_Anzengruber,nein
SZDPER.31,Aristoteles,http://d-nb.info/gnd/118650130 http://www.wikidata.org/entity/Q868,nein
SZDPER.40,"Auerbach, Bertrand",http://d-nb.info/gnd/101815018 http://www.wikidata.org/entity/Q2899444,nein
SZDPER.48,"Bac, Ferdinand",http://d-nb.info/gnd/123794412 http://www.wikidata.org/entity/Q3068507 https://de.wikipedia.org/wiki/Ferdinand_Bac,nein
SZDPER.51,"Badeni, Kasimir F.",http://d-nb.info/gnd/118651625 http://www.wikidata.org/entity/Q697799 https://de.wikipedia.org/wiki/Kasimir_Felix_Badeni,nein
SZDPER.52,"Baekeland, Leo H.",http://d-nb.info/gnd/121984141 http://www.wikidata.org/entity/Q243442 https://de.wikipedia.org/wiki/Leo_Hendrik_Baekeland,nein
SZDPER.53,"Bagger, Eugene S.",http://d-nb.info/gnd/125984626,nein
SZDPER.54,Franco,http://d-nb.info/gnd/11853470X http://www.wikidata.org/entity/Q29179 https://de.wikipedia.org/wiki/Francisco_Franco,nein
SZDPER.57,"Baker, Ray Stannard",http://d-nb.info/gnd/12227220X http://www.wikidata.org/entity/Q2133979 https://de.wikipedia.org/wiki/Ray_Stannard_Baker,nein
SZDPER.68,"Barnay, Ludwig",http://d-nb.info/gnd/118652575 http://www.wikidata.org/entity/Q539931 https://de.wikipedia.org/wiki/Ludwig_Barnay,nein
SZDPER.70,"Bartók, Béla",http://d-nb.info/gnd/118506900 http://www.wikidata.org/entity/Q83326 https://de.wikipedia.org/wiki/B%C3%A9la_Bart%C3%B3k,nein
SZDPER.77,"Bauer, Otto",http://d-nb.info/gnd/118507346 http://www.wikidata.org/entity/Q11730 https://de.wikipedia.org/wiki/Otto_Bauer,nein
SZDPER.89,"Bell, Alexander Graham",http://d-nb.info/gnd/119408643 http://www.wikidata.org/entity/Q34286 https://de.wikipedia.org/wiki/Alexander_Graham_Bell,nein
SZDPER.93,"Benedikt, Moriz",http://d-nb.info/gnd/118137948 http://www.wikidata.org/entity/Q877165 https://de.wikipedia.org/wiki/Moriz_Benedikt_%28Publizist%29,nein
SZDPER.98,"Benoît, Pierre",http://d-nb.info/gnd/118658255 http://www.wikidata.org/entity/Q551767 https://de.wikipedia.org/wiki/Pierre_Benoit_%28Schriftsteller%29,nein
SZDPER.99,"Benz, Carl",http://d-nb.info/gnd/118509225 http://www.wikidata.org/entity/Q40224 https://de.wikipedia.org/wiki/Carl_Benz,nein
SZDPER.104,"Berliner, Emil",http://d-nb.info/gnd/116136146 http://www.wikidata.org/entity/Q71004 https://de.wikipedia.org/wiki/Emil_Berliner,nein
SZDPER.108,"Bernshtein, Sergej I.",http://d-nb.info/gnd/118952781 http://www.wikidata.org/entity/Q4085141,nein
SZDPER.110,"Beuret, Rose",http://d-nb.info/gnd/136156924 http://www.wikidata.org/entity/Q24555769,nein
SZDPER.116,"Binyon, Laurence",http://d-nb.info/gnd/119316994 http://www.wikidata.org/entity/Q1807972 https://de.wikipedia.org/wiki/Laurence_Binyon,nein
SZDPER.117,"Bismarck, Otto von",http://d-nb.info/gnd/11851136X http://www.wikidata.org/entity/Q8442 https://de.wikipedia.org/wiki/Otto_von_Bismarck,nein
SZDPER.123,"Blériot, Louis",http://d-nb.info/gnd/118659049 http://www.wikidata.org/entity/Q5396 https://de.wikipedia.org/wiki/Louis_Bl%C3%A9riot,nein
SZDPER.137,"Bohr, Niels",http://d-nb.info/gnd/118661051 http://www.wikidata.org/entity/Q7085 https://de.wikipedia.org/wiki/Niels_Bohr,nein
